Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,
2019-01-02,37.61785125732422,3.377779006958008,37.839386848487095,3.433819052704614,36.73886211985297,3.2247847018464455,36.896080457482114,3.2394146399426385,148158800,508752000
2019-01-03,33.87083053588867,3.173703908920288,34.71170533997153,3.3514948117165626,33.825570388313054,3.1662650253054467,34.297221690076654,3.3175235866890644,365248800,705552000
2019-01-04,35.3167610168457,3.3770358562469482,35.385843458861956,3.415222304441284,34.25435404131525,3.216106509926051,34.42824508143415,3.2468540734235254,234428400,585620000
2019-01-07,35.23815155029297,3.5558183193206787,35.45254119796696,3.5927651478264973,34.754588999265515,3.3829865806392716,35.42157295630101,3.4343155198740223,219111200,709160000
2019-01-08,35.90990447998047,3.467294216156006,36.16478912877367,3.639630035575938,35.37870094056626,3.394640423200779,35.62643599572281,3.637398157822209,164101200,786016000
2019-01-09,36.51970672607422,3.5354855060577393,36.81032108583574,3.5828468232133175,35.64310209875845,3.4680389400350418,36.03852503674899,3.518623687193654,180396400,617260000
2019-01-10,36.636436462402344,3.6011955738067627,36.67693143634063,3.6098743108195714,35.93610349421872,3.455640147820336,36.32676495224882,3.5161437146033907,143122800,523156000
2019-01-11,36.276737213134766,3.6904633045196533,36.61261175890216,3.7132760871336066,36.09093504627831,3.5511069020027533,36.417282860183526,3.578878861805205,108092800,874764000
2019-01-14,35.73125076293945,3.7303857803344727,36.03377637046816,3.755678271704441,35.54544854975383,3.6145861109734994,35.933729304504425,3.638142854723856,129756800,730168000
2019-01-15,36.46254348754883,3.716252088546753,36.53876824774425,3.8025438146360644,35.74315345783549,3.6979025870726665,35.79555957068169,3.7631172757641576,114843600,617012000
2019-01-16,36.90798568725586,3.690711498260498,37.13190201684626,3.776507329462538,36.44586111508322,3.685256426461529,36.46491821066211,3.7435281239360836,122278800,470104000
2019-01-17,37.127140045166016,3.762125015258789,37.555915645850185,3.802047443243775,36.507797106981144,3.630455564376065,36.73171345593675,3.65773186610097,119284800,493436000
2019-01-18,37.3558349609375,3.891315221786499,37.60833522881441,3.9173516732109377,37.1557371857476,3.7603897146772316,37.51781489324686,3.811966486927036,135004000,651336000
2019-01-22,36.51732635498047,3.6889748573303223,37.3343789279958,3.872716945334864,36.355342850894715,3.6587231950286743,37.25815417619096,3.8610626086620052,121576000,661552000
2019-01-23,36.665016174316406,3.7018699645996094,36.955630552057414,3.8330435374628453,36.13619352857585,3.6706265065555046,36.719803058220776,3.7442721045596024,92522400,591020000
2019-01-24,36.3744010925293,3.913879871368408,36.798411510579946,3.931485175442335,36.145723195146964,3.781714521067783,36.71027561625234,3.786425869566935,101766000,708972000
2019-01-25,37.57974624633789,3.9711596965789795,37.66788580339846,3.9892611319279174,36.760312613511495,3.75171083069408,37.03663152428315,3.8543682406087383,134142000,1154572000
2019-01-28,37.231956481933594,3.4221653938293457,37.23910243985736,3.5121766816372504,36.6030867412518,3.2483420860381456,37.11046792768946,3.3859625210540276,104768400,2511528000
2019-01-29,36.84604263305664,3.2632195949554443,37.66786383091051,3.424396998340246,36.71026584912992,3.248589655128127,37.220031251763324,3.3760436590858713,166348800,1153932000
